run_name,min_eval_loss,hidden_size,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_attention_heads,num_hidden_layers,learning_rate,per_device_train_batch_size,pretraining_task,bace_classification_valid_roc_auc_score,bace_classification_valid_average_precision_score,bace_classification_test_roc_auc_score,bace_classification_test_average_precision_score,bace_regression_valid_pearsonr,bace_regression_valid_rmse,bace_regression_test_pearsonr,bace_regression_test_rmse,bbbp_valid_roc_auc_score,bbbp_valid_average_precision_score,bbbp_test_roc_auc_score,bbbp_test_average_precision_score,clearance_valid_pearsonr,clearance_valid_rmse,clearance_test_pearsonr,clearance_test_rmse,clintox_valid_roc_auc_score,clintox_valid_average_precision_score,clintox_test_roc_auc_score,clintox_test_average_precision_score,delaney_valid_pearsonr,delaney_valid_rmse,delaney_test_pearsonr,delaney_test_rmse,lipo_valid_pearsonr,lipo_valid_rmse,lipo_test_pearsonr,lipo_test_rmse,tox21_valid_roc_auc_score,tox21_valid_average_precision_score,tox21_test_roc_auc_score,tox21_test_average_precision_score
run_0,0.0701534748077392,264,0.224,0.122,4888,8,3,0.0003956806832342,25,77M-MTR,0.5538379530916844,0.6706657869207626,0.7184782608695652,0.7753961352094212,0.16081880796150066,0.5138269275793058,0.7466333974237566,1.0515942719160267,0.9747670807453416,0.9733843188796545,0.674631467386068,0.6820194672802131,0.4823710360667463,1.130386978912789,0.35486914896832866,1.1771761015332822,0.6326291079812207,0.980148190091011,0.731814548361311,0.959509224920889,0.8583880693361499,0.4911730207865686,0.8930465625587166,0.4620263112858664,0.7776162838634121,0.6422994472510843,0.7262773415769622,0.63246101260188,0.7950840768702814,0.4790726694255474,0.7565438622241792,0.4081311016492939
run_0,0.0701534748077392,264,0.224,0.122,4888,8,3,0.0003956806832342,25,77M-MTR,0.5536602700781805,0.6706196046547528,0.7184782608695652,0.7753961352094212,0.1573732460715761,0.5165965066595489,0.7461228078167501,1.079928326037958,0.9766110248447205,0.9749223236171856,0.6797379323634262,0.6957167326503422,0.48079706202544414,1.131056473489685,0.35501864964007096,1.1770298830845776,0.6326291079812206,0.9805140953357742,0.7430055955235811,0.9603934560194456,0.8531943558798891,0.4994605660932474,0.8878581155611943,0.47317193219723946,0.7775011009399835,0.6384348066706157,0.7303010094665521,0.6268356346337992,0.8104409746053535,0.4820458170140809,0.7526787024805518,0.3983747407006605
run_0,0.0701534748077392,264,0.224,0.122,4888,8,3,0.0003956806832342,25,77M-MTR,0.5538379530916844,0.6706657869207626,0.7184782608695652,0.7753961352094212,0.16149721261173325,0.5152038173181085,0.7471004922581985,1.0414416538331712,0.9739906832298136,0.9720211774317377,0.6779073128432411,0.6842857123619881,0.4884079713965498,1.1262584908903381,0.36296872560475524,1.1696055552845213,0.6291079812206573,0.9801486707541069,0.7358113509192646,0.9598704542914622,0.8593598714801701,0.48999173394544776,0.8929665916484333,0.46184759601459163,0.7741941236585328,0.6446319862016665,0.7294612926630579,0.6296432916484223,0.7894646533973919,0.4655430897900386,0.7509662899359069,0.4125868795164656
run_0,0.0701534748077392,264,0.224,0.122,4888,8,3,0.0003956806832342,25,77M-MTR,0.5538379530916844,0.6706657869207626,0.7184782608695652,0.7753961352094212,0.1560087027141865,0.5149339294252463,0.7484006889716741,1.0937413000729421,0.9756405279503106,0.9749314293901996,0.6781000096348395,0.6911590868230033,0.4866422763911359,1.1277870732961544,0.35703207860007374,1.174217527580736,0.6267605633802817,0.9799465548357547,0.734212629896083,0.9597455183372013,0.8579380535417899,0.49222810585722715,0.8932628315838054,0.46127851694355776,0.7714517396767057,0.6495411656386502,0.7274565662155186,0.6308261996272674,0.8012611530542211,0.48221147768668843,0.7509173638632026,0.40604936055864926
run_0,0.0701534748077392,264,0.224,0.122,4888,8,3,0.0003956806832342,25,77M-MTR,0.5538379530916844,0.6706657869207626,0.7184782608695652,0.7753961352094212,0.1574755713450329,0.5159404039062228,0.7475185134981039,1.0694569367549553,0.9747670807453416,0.9736658460488353,0.676943828885249,0.6828579758879745,0.4796729708756421,1.1322042939099572,0.35468562197486125,1.1748054016687834,0.6220657276995305,0.9796537041051886,0.7366107114308553,0.9599155845474869,0.8576297918557956,0.49252017745860843,0.8932222867907932,0.46174631535111216,0.7571948895187793,0.6636537471790539,0.708209932847367,0.6503215869975163,0.7855610844200411,0.4663745350125924,0.7538529282254514,0.417922567273106
run_45,0.0407936871051788,384,0.109,0.144,464,12,3,0.0001408115147143,25,77M-MTR,0.5854655294953802,0.6269272478150427,0.7590579710144928,0.8166473989082342,0.17812803912007677,0.5154694430245413,0.7074509193657852,1.1265767558723938,0.9675854037267081,0.9636795181769986,0.7238654976394643,0.7618165525815087,0.5078154111360635,1.1319283251462686,0.4507289515948154,1.143312588199113,0.7946009389671362,0.9903366202276729,0.7741806554756195,0.9803417088872689,0.9037254302491593,0.4132632726393322,0.9123847856645806,0.4247407053941376,0.824663017041399,0.5766205490522516,0.7727458539991987,0.5942990319008746,0.7759951956074124,0.4891902278478464,0.7706834972356769,0.435601513609166
run_45,0.0407936871051788,384,0.109,0.144,464,12,3,0.0001408115147143,25,77M-MTR,0.5854655294953802,0.6269272478150427,0.7590579710144928,0.8166473989082342,0.17732242864762768,0.5156606889647569,0.7072254577676635,1.1262664180739415,0.9677795031055901,0.9641724085001184,0.7249253299932555,0.7625915280520883,0.5070708350997204,1.1263417569787195,0.44466202147628753,1.139058301843312,0.7992957746478874,0.9906255623803826,0.7685851318944845,0.9794001591814855,0.9035364431362088,0.4133151647027722,0.9116285494059397,0.42702780458169426,0.8323109189520427,0.5704672572678114,0.772039853805629,0.6048712417546906,0.7708905284831845,0.4946482383399562,0.7711727579627183,0.44204474501190477
run_45,0.0407936871051788,384,0.109,0.144,464,12,3,0.0001408115147143,25,77M-MTR,0.5854655294953802,0.6269272478150427,0.7590579710144928,0.8166473989082342,0.17975024824734115,0.5143035655520318,0.7103666983038027,1.1262196897759262,0.9680706521739131,0.9627503955269805,0.7225166200982752,0.762113095939014,0.5080097910318927,1.1280464837714999,0.44099609908472515,1.1474156204862556,0.7946009389671361,0.9903196870319966,0.7749800159872102,0.980178553529158,0.9030441014726522,0.4131843458492745,0.9122639599040632,0.42392682092372475,0.8288908076297701,0.5771925777853617,0.769522705924478,0.6065747186486002,0.7822580645161291,0.4937585558008482,0.7704877929448604,0.4333653340877194
run_45,0.0407936871051788,384,0.109,0.144,464,12,3,0.0001408115147143,25,77M-MTR,0.5854655294953802,0.6269272478150427,0.7590579710144928,0.8166473989082342,0.17823589415229713,0.5152108113935592,0.7099500064424453,1.1284589455380363,0.9679736024844721,0.965508589890393,0.7247326332016572,0.7614393732551072,0.5110671767771843,1.1242907979198236,0.4486219720773625,1.1376909684120644,0.7969483568075117,0.9904777926699261,0.7685851318944844,0.9793943315318798,0.9059853047257027,0.40828836715816025,0.9134919758522797,0.42261487618026594,0.8273552720252758,0.5783470126422947,0.773160797085815,0.6024781957419595,0.7786118737131091,0.4951363333051791,0.7786584470864524,0.44151368194138413
run_45,0.0407936871051788,384,0.109,0.144,464,12,3,0.0001408115147143,25,77M-MTR,0.5854655294953802,0.6269272478150427,0.7590579710144928,0.8166473989082342,0.1769217666980246,0.5148243386421246,0.7120881826261349,1.1337010688162423,0.968167701863354,0.9654920442658459,0.7271413430966374,0.7641648033414332,0.5152700921808202,1.118425167671155,0.4469457505449047,1.1351601265247118,0.8075117370892018,0.991096185676706,0.7645883293365308,0.9784104925382286,0.9011115044857159,0.41903257597153065,0.9096107951154382,0.4317164479248188,0.8110024791838795,0.5965053396047842,0.769441780205192,0.594937350678763,0.7772391901166781,0.49002075695779584,0.7715152404716474,0.4404376751102518
