run_name,min_eval_loss,hidden_size,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_attention_heads,num_hidden_layers,learning_rate,pretraining_task,bace_classification_valid_roc_auc_score_mean,bace_classification_valid_average_precision_score_mean,bace_classification_valid_roc_auc_score_std,bace_classification_valid_average_precision_score_std,bace_classification_test_roc_auc_score_mean,bace_classification_test_average_precision_score_mean,bace_classification_test_roc_auc_score_std,bace_classification_test_average_precision_score_std,bace_regression_valid_pearsonr_mean,bace_regression_valid_rmse_mean,bace_regression_valid_pearsonr_std,bace_regression_valid_rmse_std,bace_regression_test_pearsonr_mean,bace_regression_test_rmse_mean,bace_regression_test_pearsonr_std,bace_regression_test_rmse_std,bbbp_valid_roc_auc_score_mean,bbbp_valid_average_precision_score_mean,bbbp_valid_roc_auc_score_std,bbbp_valid_average_precision_score_std,bbbp_test_roc_auc_score_mean,bbbp_test_average_precision_score_mean,bbbp_test_roc_auc_score_std,bbbp_test_average_precision_score_std,clearance_valid_pearsonr_mean,clearance_valid_rmse_mean,clearance_valid_pearsonr_std,clearance_valid_rmse_std,clearance_test_pearsonr_mean,clearance_test_rmse_mean,clearance_test_pearsonr_std,clearance_test_rmse_std,clintox_valid_roc_auc_score_mean,clintox_valid_average_precision_score_mean,clintox_valid_roc_auc_score_std,clintox_valid_average_precision_score_std,clintox_test_roc_auc_score_mean,clintox_test_average_precision_score_mean,clintox_test_roc_auc_score_std,clintox_test_average_precision_score_std,delaney_valid_pearsonr_mean,delaney_valid_rmse_mean,delaney_valid_pearsonr_std,delaney_valid_rmse_std,delaney_test_pearsonr_mean,delaney_test_rmse_mean,delaney_test_pearsonr_std,delaney_test_rmse_std,lipo_valid_pearsonr_mean,lipo_valid_rmse_mean,lipo_valid_pearsonr_std,lipo_valid_rmse_std,lipo_test_pearsonr_mean,lipo_test_rmse_mean,lipo_test_pearsonr_std,lipo_test_rmse_std,tox21_valid_roc_auc_score_mean,tox21_valid_average_precision_score_mean,tox21_valid_roc_auc_score_std,tox21_valid_average_precision_score_std,tox21_test_roc_auc_score_mean,tox21_test_average_precision_score_mean,tox21_test_roc_auc_score_std,tox21_test_average_precision_score_std
run_19,0.1689134985208511,57,0.129,0.139,10476,3,5,5.778969155345522e-05,77M-MLM,0.6764747690120825,0.6691692538125685,0.008082839148696721,0.013194214468825924,0.7844927536231884,0.8180087640307635,0.004532027963585181,0.004758678256909647,0.378668869797229,0.5265170323702602,0.014272542141386303,0.005303787937809966,0.6969991102159211,1.1023416089154394,0.00757553158567114,0.024425355112254903,0.6491265527950311,0.701817758507274,0.0019240330398364348,0.0012310432624406868,0.44840543404952304,0.4711072192860787,0.001026913004680532,0.00113734169964412,0.42437190929801094,1.1764939077452023,0.025706238565984498,0.013454645727733298,0.44364068114666433,1.1297813107564139,0.04128134892670948,0.01904262784751579,0.3913145539906103,0.9562915068717228,0.008151997818866337,0.0008534186127541559,0.604396482813749,0.9583271653933763,0.00564328140518718,0.0016492277744181887,0.37420519307553934,1.024570627439163,0.0006848949584801736,0.0002465977204068886,0.4392460709414083,1.08964192861002,0.001136535932893702,0.00023552081179075034,0.6710299471625558,0.7491740131552206,0.015190698876008215,0.013570277547233544,0.6026092712874558,0.7351053584049184,0.01636048911460994,0.008643042643712863,0.7045942004118051,0.37088355596823896,0.006716123880168629,0.022498341764858706,0.722691912520182,0.32448493515358123,0.010164483156272025,0.027838926736608226
run_11,0.5787794589996338,112,0.118,0.183,4844,8,5,1.653224652227841e-06,77M-MLM,0.6745913290689409,0.7326363589064424,0.014857785167692322,0.009262759831963802,0.7931521739130435,0.8324734059892267,0.013912949124076176,0.014793464069123283,0.04151004447427795,0.5176004541428526,0.012272177017595538,0.006946183024679145,0.7758118482688072,1.088074379485787,0.006163965643403746,0.010344007519055459,0.8519992236024845,0.8507614477709152,0.1268407882745042,0.1284472793224015,0.6457558531650448,0.6649595332307635,0.05505873399378353,0.06262604288359017,0.1996259462324033,1.2670894010648128,0.008699471187715238,0.0010299086481260946,0.3068903364984741,1.200019434908929,0.01204751965322336,0.0047611803628195,0.6544600938967136,0.9790013659085683,0.046224466160178806,0.003565990033611004,0.5348521183053557,0.9492798515265578,0.034242499493090904,0.008118819802371995,0.7775251298502578,0.6176580370815454,0.018424096702018784,0.016649122207084848,0.8416963676752562,0.5616081356933563,0.013248717674017084,0.0187150943523764,0.5851322380215829,0.815798966934717,0.01368706658526419,0.009688668853177205,0.4842621972862268,0.8116081359121609,0.014460800313549654,0.008315250340674693,0.7460878517501716,0.3624465508052911,0.017237067241523827,0.025387153387440402,0.7371789226478791,0.27554625666654103,0.007113480819324388,0.01615606051849956
run_39,0.4217498302459717,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,77M-MLM,0.6660980810234542,0.686660788653837,0.009844601083479745,0.009544419605646332,0.7224999999999999,0.7702580268645645,0.04595531399379196,0.021503325151177602,0.16424196998057067,0.5704896840742788,0.0200788969790979,0.003995717840457493,0.5680991536408663,1.1626375266008138,0.0755439496868203,0.041988193765331194,0.9495535714285713,0.9500805000706494,0.002232902247276644,0.004078556219213053,0.6679834280759225,0.6643829478175309,0.0038186067362895896,0.007399325761858549,0.42542961029115334,1.1687140739103614,0.02782488728862408,0.019065996104810395,0.48677138390753794,1.0905787557698607,0.008569261929382151,0.010050946534235149,0.4748826291079812,0.9615829981997732,0.0885962887884843,0.009585561837903375,0.630775379696243,0.9644582369508929,0.01902142122172453,0.0027146292766310844,0.8212663305313492,0.5733357346963548,0.009041119152055814,0.008142305493155783,0.8771210564358951,0.5011057685899154,0.005141701573123494,0.007045405194912336,0.6108335702336217,0.7973442184830036,0.01841609086846498,0.014418786083631216,0.5130091126506062,0.7989632971927668,0.015541569271316814,0.012063779734691882,0.7790494166094716,0.4356122018202864,0.00861135900975375,0.021197016363215877,0.7452810802876852,0.31615712484621217,0.017602004466063616,0.01909549130946755
run_38,0.386785477399826,126,0.109,0.279,456,3,2,2.0809594829866996e-05,77M-MLM,0.4803837953091684,0.5814938301298127,0.00014214641080315395,9.545971788765573e-05,0.4077898550724638,0.5280245160984851,0.0,0.0,0.170129946697055,0.5758586396519891,0.02045853211327195,0.0028350368119728292,0.7488882977063971,1.1296890136241005,0.0629163148222452,0.05825046429561394,0.5875970496894409,0.6432164018034364,4.754444376520521e-05,8.07981219862114e-05,0.5467771461605164,0.5466845251677896,0.0,0.0,0.3282438271498407,1.2219111067344042,0.009217573060968343,0.007291451629728635,0.4799677086802633,1.0951743989353186,0.011485440122692224,0.006246021921227642,0.6446009389671362,0.9797612012472585,0.037348295714165605,0.003104478729410691,0.6282174260591527,0.953156734097735,0.008098433344149603,0.00312210259509341,0.6117248596167324,0.7731545222344209,0.0013190694088274235,0.0004997331274711075,0.6974326785174647,0.7859912948238613,0.0007622727879504989,0.000874382572714017,0.5634035572635219,0.8417362227324464,0.010268187931579726,0.005887636098168181,0.5221602407567694,0.7930521620602942,0.02228327730217843,0.01248805444777637,0.7704100892244337,0.4302918970909431,0.011812926106103919,0.024791112219370956,0.7458290523019717,0.3021849589950862,0.01079815161734339,0.004848178352686212
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.0,0.0,0.5601811594202899,0.6672012451465393,7.246376811593791e-05,0.0005797101449275477,0.15213401718267144,0.5973266826275547,5.403439383442952e-05,3.168366810956648e-05,0.3448471814234436,1.2621566509424942,9.27124018411285e-05,8.77690028392297e-06,0.9577833850931677,0.9476720000184555,0.0008257782370412399,0.001463547074831428,0.7377203969553906,0.7672979138255155,0.0026780001515137185,0.0024024841742256897,0.43696944849910857,1.1627454913679087,0.004418346339686889,0.0027800259981723596,0.4844371398815661,1.0887972082242585,0.005345407331318161,0.003811260507545444,0.5615023474178404,0.9743907627772307,0.047010522222942615,0.0038408442965881234,0.6326938449240608,0.9670743770140607,0.002084477187914526,0.0006640366789754967,0.8709901676009613,0.47226931527737187,0.004078667807006725,0.0064259474163800255,0.8726319278790269,0.509699468702938,0.0022503021905364313,0.003744233186609573,0.7072303005800369,0.739630142752926,0.019875945434520065,0.01627941854590215,0.6574411250616378,0.720416989891276,0.023401057757984768,0.012897854577508893,0.7050789293067948,0.41325009894207865,0.0022344681816186865,0.002803295861203996,0.7354371544596116,0.3315691296297101,0.0027229634229397346,0.00239878422855399
