run_name,min_eval_loss,hidden_size,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_attention_heads,num_hidden_layers,learning_rate,per_device_train_batch_size,pretraining_task,bace_classification_valid_roc_auc_score_mean,bace_classification_valid_average_precision_score_mean,bace_classification_valid_roc_auc_score_std,bace_classification_valid_average_precision_score_std,bace_classification_test_roc_auc_score_mean,bace_classification_test_average_precision_score_mean,bace_classification_test_roc_auc_score_std,bace_classification_test_average_precision_score_std,bace_regression_valid_pearsonr_mean,bace_regression_valid_rmse_mean,bace_regression_valid_pearsonr_std,bace_regression_valid_rmse_std,bace_regression_test_pearsonr_mean,bace_regression_test_rmse_mean,bace_regression_test_pearsonr_std,bace_regression_test_rmse_std,bbbp_valid_roc_auc_score_mean,bbbp_valid_average_precision_score_mean,bbbp_valid_roc_auc_score_std,bbbp_valid_average_precision_score_std,bbbp_test_roc_auc_score_mean,bbbp_test_average_precision_score_mean,bbbp_test_roc_auc_score_std,bbbp_test_average_precision_score_std,clearance_valid_pearsonr_mean,clearance_valid_rmse_mean,clearance_valid_pearsonr_std,clearance_valid_rmse_std,clearance_test_pearsonr_mean,clearance_test_rmse_mean,clearance_test_pearsonr_std,clearance_test_rmse_std,clintox_valid_roc_auc_score_mean,clintox_valid_average_precision_score_mean,clintox_valid_roc_auc_score_std,clintox_valid_average_precision_score_std,clintox_test_roc_auc_score_mean,clintox_test_average_precision_score_mean,clintox_test_roc_auc_score_std,clintox_test_average_precision_score_std,delaney_valid_pearsonr_mean,delaney_valid_rmse_mean,delaney_valid_pearsonr_std,delaney_valid_rmse_std,delaney_test_pearsonr_mean,delaney_test_rmse_mean,delaney_test_pearsonr_std,delaney_test_rmse_std,lipo_valid_pearsonr_mean,lipo_valid_rmse_mean,lipo_valid_pearsonr_std,lipo_valid_rmse_std,lipo_test_pearsonr_mean,lipo_test_rmse_mean,lipo_test_pearsonr_std,lipo_test_rmse_std,tox21_valid_roc_auc_score_mean,tox21_valid_average_precision_score_mean,tox21_valid_roc_auc_score_std,tox21_valid_average_precision_score_std,tox21_test_roc_auc_score_mean,tox21_test_average_precision_score_mean,tox21_test_roc_auc_score_std,tox21_test_average_precision_score_std
run_38,0.2860958278179168,126,0.109,0.279,456,3,2,2.0809594829866996e-05,25,10M-MTR,0.5104832977967306,0.5517366650478506,0.0,0.0,0.6983333333333335,0.7147544833319802,7.246376811593791e-05,0.00024154589371980781,0.17463183683163366,0.5373821870157067,0.0039454509110934625,0.001561987985012968,0.7762598218437442,1.0755643431863466,0.00182028805695918,0.0030705366652603377,0.8435559006211181,0.8591664529237197,0.00041174696109465763,0.0006626426561684538,0.5344060121398979,0.5905142241411447,0.0006963796512031225,0.0008874323940577883,0.4454243168645678,1.1557382581540663,0.004831143769062129,0.004922350704386457,0.39601390318727453,1.1479981633541902,0.004783382652029013,0.004631775185059233,0.6502347417840376,0.9816269572889855,0.006923887889085768,0.0005062262444377181,0.6018385291766586,0.9539146973043536,0.0021803647796940187,0.0003422101636382685,0.8221047502153844,0.5532966574267459,0.007577701191817847,0.010000237081609673,0.8698034908349603,0.5087927105152077,0.009538451169127219,0.017765333981714784,0.6169173136245079,0.8068194858629731,0.008833188678285241,0.002124264926346974,0.5834959265668067,0.7841338822329964,0.010101651075032117,0.001650557795773928,0.7538263555250515,0.44208010172042167,0.00299026723910951,0.007598895227615605,0.8241107686286021,0.451679053164969,0.0046647873766785305,0.0036863337297320022
run_39,0.2045844197273254,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,25,10M-MTR,0.6816631130063966,0.7008224198333443,0.0007753171367899781,0.0022063523792674854,0.8331159420289855,0.849588788246694,0.0013910401319168196,0.0009533818869496507,0.1734265118426158,0.51999351882413,0.013448957839403574,0.002541005104910169,0.7789262235571749,1.043666443849654,0.000870816992088445,0.02389469819753947,0.9701086956521738,0.9710619419553232,0.0005024137851531473,0.0007464949817979484,0.715733693034011,0.7566952075634628,0.0007576684941260725,0.005613360682070499,0.5061114776325819,1.1121573809052143,0.009296943534666832,0.005972895183585375,0.4105072703490179,1.1386267660417306,0.019081192714678577,0.008222907026483092,0.6845070422535212,0.9837993234586992,0.004478587800079552,0.0003026979488301034,0.6123900879296563,0.9445280278246294,0.005973314689774376,0.0017286599836033641,0.8428918524595375,0.5209373754150455,0.004259301251089652,0.006261467569018598,0.8996065893940873,0.45186071548398343,0.0029740102114084624,0.006736904996309725,0.7603087356490927,0.6568734949418993,0.008641371362957301,0.009798876462320066,0.7020792730144025,0.662727014931063,0.003467733718248599,0.004154090522695017,0.7467741935483871,0.43449878865934,0.00114120449265935,0.010601922441194168,0.8165174421449188,0.41547337821897956,0.006292463601239292,0.014972413778102966
run_45,0.0467022396624088,384,0.109,0.144,464,12,3,0.0001408115147143,25,10M-MTR,0.6240582800284293,0.6880547833438142,0.0003794270878476156,0.00031998344441070634,0.7345652173913044,0.8011150735220912,0.00013556729662223655,0.0002708298180083813,0.22450164320777205,0.5020458198049637,0.004546904766552291,0.0005223185047113991,0.7434747706521929,1.1014162702691948,0.0028089625328892144,0.008106125488508725,0.975485248447205,0.9728765783507601,0.00018000035899642833,0.0006277635398047217,0.7231139801522304,0.7692872242246931,0.0007789337289298775,0.000980489175345045,0.4790097623877957,1.1341588138346919,0.003085177370964675,0.0013754217732441386,0.45325249468804196,1.1160107865568274,0.0031289579869913384,0.0021287955727470197,0.82981220657277,0.9920906935978284,0.003560035419742512,0.0002021680841166788,0.7306954436450839,0.9696437460197977,0.0019317419622053944,0.00024685116914678504,0.8667599117220887,0.47727322273701206,0.0002274946614039503,0.0003886703725448849,0.8953632116542612,0.4571144132136279,0.000575666300789043,0.001185682123831486,0.8246663664332312,0.5752107115704665,0.0024858866675159645,0.005202976302501395,0.7793128890343567,0.5871697302237362,0.0023695841257364526,0.005728730025943569,0.7723575840768703,0.4648367981876155,0.0014152939541779545,0.0021540704489595767,0.7826605998336513,0.41395725237981573,0.0018782514761044493,0.001395777960618388
run_1,0.136169359087944,407,0.156,0.295,9044,11,2,5.198644030239773e-06,25,10M-MTR,0.6358564321250888,0.6610157203801539,0.0023481064018026827,0.0018775700392118433,0.8057608695652172,0.8239596194688067,0.004390491147739414,0.003158797184964569,0.18989327220527427,0.5242986065632426,0.0012505284174864084,0.001338177380807326,0.7966988576245446,1.051767840463712,0.0002787547832500169,0.0060888732367866474,0.9720496894409937,0.9705976745301694,0.0005919235513190008,0.0006187844089065555,0.7265439830426823,0.7780631984570087,0.003434330425469008,0.0043640663885689095,0.5201744720118435,1.100968221404114,0.005110249888417844,0.003778739012012274,0.4490739618996809,1.1171245780893264,0.00428928121203,0.0030851881136394264,0.75,0.9878426340613634,0.001484637399140123,7.141493201670295e-05,0.7003197442046363,0.9709217310197893,0.0016459840353296757,0.00015592820089527747,0.9111088695329629,0.3993258979603035,0.0018621784013587931,0.0034545823975537025,0.9249794100192975,0.4050489776089594,0.0008194654685203153,0.0027754537417295395,0.7587669126007326,0.6704628243387389,0.00900956169944913,0.012250311530538604,0.7259202291057857,0.6565344483219133,0.006394001045167736,0.007907001313554115,0.7664207275223061,0.4670258859394033,0.012475141320500557,0.00873746942375953,0.7682567640295513,0.40082711354558337,0.005146092610940092,0.001818315930680276
run_0,0.0747794434428215,264,0.224,0.122,4888,8,3,0.0003956806832342,25,10M-MTR,0.5379886282871358,0.61374511810832,7.10732054015839e-05,2.0306630114763635e-05,0.7282971014492754,0.808705342425934,7.246376811593791e-05,4.762876777570924e-05,0.1369204397619082,0.48665557004770366,0.004010809591984126,0.001014375866495874,0.7159860441167876,1.0925373061341546,0.004312206422600167,0.005550293615363208,0.9704774844720496,0.9673227556284558,0.0006790704846481169,0.0017129332940373136,0.6917236728008478,0.7329471887977056,0.0028363763342771054,0.001961704399427072,0.5096466073268948,1.1221937750847768,0.0014805498556438993,0.0018984827099480612,0.37449557445720216,1.1924129978399207,0.0006646799523136167,0.003933142140658188,0.6725352112676056,0.9803496934661361,0.007855962690460823,0.0008574504571653004,0.6491606714628297,0.958837882317338,0.0025074959458606465,0.00031638536134548313,0.8833979410418162,0.44896156819771516,0.0019185318070456653,0.0035557380817771993,0.90873617948744,0.4298347120077007,0.0007884420963327824,0.0017810995747439087,0.7229966440473297,0.6977062151011078,0.0004812144691098518,0.0007443324466469384,0.6802206474066657,0.6706766806007767,0.0005779832454827498,0.0005397338376566779,0.7727779684282774,0.49030162992131865,0.005079190156354029,0.003907540131369366,0.7400264200792602,0.42043026016855894,0.0010274941219902166,0.00450739111365344
