run_name,min_eval_loss,hidden_size,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_attention_heads,num_hidden_layers,learning_rate,pretraining_task,bace_classification_valid_roc_auc_score,bace_classification_valid_average_precision_score,bace_classification_test_roc_auc_score,bace_classification_test_average_precision_score,bace_regression_valid_pearsonr,bace_regression_valid_rmse,bace_regression_test_pearsonr,bace_regression_test_rmse,bbbp_valid_roc_auc_score,bbbp_valid_average_precision_score,bbbp_test_roc_auc_score,bbbp_test_average_precision_score,clearance_valid_pearsonr,clearance_valid_rmse,clearance_test_pearsonr,clearance_test_rmse,clintox_valid_roc_auc_score,clintox_valid_average_precision_score,clintox_test_roc_auc_score,clintox_test_average_precision_score,delaney_valid_pearsonr,delaney_valid_rmse,delaney_test_pearsonr,delaney_test_rmse,lipo_valid_pearsonr,lipo_valid_rmse,lipo_test_pearsonr,lipo_test_rmse,tox21_valid_roc_auc_score,tox21_valid_average_precision_score,tox21_test_roc_auc_score,tox21_test_average_precision_score
run_39,0.4291693270206451,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,10M-MLM,0.6917199715707179,0.6966758440066645,0.7324275362318841,0.7778857959683241,-0.0035843872825889397,0.592909651597391,0.034642884729720325,1.2740417378568991,0.26698369565217395,0.4094814414065648,0.4293284516812795,0.4677960066928456,0.34091166135190243,1.2205218789359187,0.5098522595831478,1.0889120455437318,0.43896713615023475,0.9492782881181833,0.6254996003197443,0.9648594845266858,0.8260027429080476,0.5541104194586333,0.8711439938627539,0.5097451001215529,0.6451841002366054,0.7696427484760598,0.5313365983377936,0.7821157389633696,0.7827299245024022,0.40935838494499355,0.7246440628210773,0.31966258733676595
run_39,0.4291693270206451,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,10M-MLM,0.6940298507462687,0.7043292290240243,0.7057971014492753,0.775384936910708,-0.003291509684448031,0.5929046746667442,0.03423967290998195,1.2740515411200304,0.2671777950310559,0.40954542149585,0.4295211484728778,0.4678476677566785,0.378260810295016,1.2100335953044108,0.5169837482328025,1.0990466696305565,0.41314553990610325,0.9452539519171981,0.6382893685051959,0.9660176657892665,0.8453064770878753,0.5319789050318355,0.8935293969229074,0.46956924878970246,0.5996537140493878,0.8067191165569639,0.5141399038400878,0.7889256196914091,0.7616249142072753,0.40820922830563267,0.7718577229805764,0.2774848556187795
run_39,0.4291693270206451,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,10M-MLM,0.6886993603411513,0.6967473098048625,0.6655797101449276,0.7504058231217386,-0.0026207372589412067,0.5930193176249721,0.03337501379894251,1.27409802518655,0.26698369565217395,0.4094828029868326,0.4296174968686771,0.46784789026274126,0.2434664009610313,1.249977755688995,0.4469006255561805,1.150401206238544,0.397887323943662,0.9438718071294294,0.6518784972022382,0.9684530871382131,0.8497247455231598,0.5215852184052459,0.8754025059138926,0.512287892395159,0.6092483434560187,0.7979486166234401,0.5091644677251627,0.7956169275165484,0.7696465339739189,0.42641969380505074,0.7515044767356525,0.29993936631165574
run_39,0.4291693270206451,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,10M-MLM,0.685678749111585,0.6969904734525448,0.770108695652174,0.812954219497313,-0.003633046515287758,0.5931026948473366,0.0347446286320028,1.274085431755513,0.2672748447204969,0.4095885357564796,0.4298101936602755,0.4680760426433724,0.25978525411646136,1.2485452432733162,0.36714928577289296,1.171206365885742,0.4107981220657277,0.9455944372769558,0.6366906474820144,0.9650285130662002,0.8580475872715698,0.5259771614943799,0.8888796782175493,0.4842843164422319,0.5868893931802115,0.8153650253071647,0.5035089851679758,0.8007538802518204,0.7763812628689086,0.4313583178405956,0.7383433631782377,0.2870139119640398
run_39,0.4291693270206451,209,0.176,0.128,3968,11,3,1.5532792068847015e-06,10M-MLM,0.6855010660980809,0.6917017272028234,0.7192028985507246,0.7805228512479476,-0.002772570762471796,0.5929508107822451,0.03361676069112045,1.2740737814537748,0.2672748447204969,0.40957687898139294,0.42932845168127953,0.4677780879374404,0.19783468074613111,1.2646068501775989,0.4333600495107099,1.175200555584351,0.607981220657277,0.9700483723636584,0.6462829736211031,0.9633493601662725,0.8426901623548806,0.5272882744443893,0.8539680787337303,0.5416526279473826,0.6049701143782166,0.8040037055710384,0.5075535957385545,0.7965071595442519,0.7801561427590941,0.4002686947197165,0.740153627868291,0.308733785918206
run_11,0.6159192323684692,112,0.118,0.183,4844,8,5,1.653224652227841e-06,10M-MLM,0.6222459132906895,0.6926916095138558,0.793840579710145,0.8627253806879609,-0.2304384670178951,0.5961983312290141,-0.21798249002112896,1.276961670648326,0.5580357142857143,0.6396086619945051,0.5294344349166586,0.570545962161453,0.28298846648957776,1.2404095154612047,0.2559022213942995,1.2050596773158755,0.6549295774647887,0.9807807458699778,0.6814548361310951,0.9713348868097944,0.7480519853712574,0.6448401537272573,0.8128919856810783,0.6021835383343513,0.5765440675256729,0.8233047576572228,0.5125659324257053,0.8065963653429093,0.7627831159917638,0.4121710845482837,0.7295366700914918,0.2860980080514148
run_11,0.6159192323684692,112,0.118,0.183,4844,8,5,1.653224652227841e-06,10M-MLM,0.6172707889125799,0.6496047810421802,0.7721014492753624,0.8149092710652253,-0.2299894735952454,0.5958979635498644,-0.21603090610590248,1.276871183024385,0.5577930900621118,0.6395754379666228,0.5293380865208595,0.5705980192065258,0.26271846914717717,1.2469201240898058,0.24953778343576707,1.2067133905454352,0.7406103286384977,0.9862102097892267,0.6095123900879297,0.9640243538933373,0.8007306643293346,0.6104050789176106,0.8607552237811298,0.5385072389275003,0.5909409955992664,0.813350523524933,0.524219221614679,0.7900267976433988,0.761238846945779,0.36850734880409,0.7417192621948236,0.285397805640792
run_11,0.6159192323684692,112,0.118,0.183,4844,8,5,1.653224652227841e-06,10M-MLM,0.6185145700071073,0.6516506730803923,0.7686594202898551,0.81852642811265,-0.23038945675305897,0.5960871476889377,-0.21981627179129576,1.2769491511302955,0.5579386645962733,0.6395046301993923,0.5297234801040562,0.5707841771838533,0.38144533515717566,1.1980039643989189,0.3324796482111282,1.1778450676087466,0.7253521126760564,0.9854237728218043,0.6470823341326939,0.9685204132504786,0.8023556760763803,0.5872616140578458,0.8521031693784562,0.5417795292842272,0.6024783789688105,0.8072549186292094,0.5053200623012368,0.8125102157589212,0.7348575840768703,0.43344205842510813,0.7457801262292676,0.2998438639300063
run_11,0.6159192323684692,112,0.118,0.183,4844,8,5,1.653224652227841e-06,10M-MLM,0.6433901918976546,0.7037196918635994,0.8096014492753624,0.8685076848665644,-0.23028046756344198,0.5959103984483358,-0.21827611413137796,1.2768928077953823,0.5576475155279503,0.6393093412689285,0.529627131708257,0.5699799932565722,0.3700927656349524,1.1976939827220319,0.3588458192144166,1.1634594037759902,0.7171361502347419,0.9848321555480781,0.6518784972022382,0.9699992288535177,0.7630397884744307,0.6267604651871738,0.8334939205040001,0.5680940088843222,0.5563282103642377,0.8356258122490785,0.4473312827428976,0.826765007216432,0.7622683596431022,0.4330162299325527,0.7376094720876755,0.3438146534017305
run_11,0.6159192323684692,112,0.118,0.183,4844,8,5,1.653224652227841e-06,10M-MLM,0.6293532338308456,0.6992782167889497,0.7688405797101449,0.8293622576120647,-0.23068920141527252,0.5961430975872677,-0.21935637302547742,1.2769565696594491,0.5580357142857143,0.6396077236005928,0.5290490413334618,0.5704404387212388,0.37623605520793013,1.1955525599708543,0.3529557567205339,1.1689685861555366,0.6948356807511737,0.9832198133387748,0.6742605915267785,0.9713221890624133,0.7882829658784918,0.6143487976344156,0.8635379532608669,0.5191803157539695,0.5692930913371312,0.8273442937995704,0.4913008737138845,0.7997130182078934,0.785904255319149,0.45330613033242284,0.7460736826654923,0.30630579549126136
