run_name,min_eval_loss,hidden_size,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_attention_heads,num_hidden_layers,learning_rate,pretraining_task,bace_classification_valid_roc_auc_score,bace_classification_valid_average_precision_score,bace_classification_test_roc_auc_score,bace_classification_test_average_precision_score,bace_regression_valid_pearsonr,bace_regression_valid_rmse,bace_regression_test_pearsonr,bace_regression_test_rmse,bbbp_valid_roc_auc_score,bbbp_valid_average_precision_score,bbbp_test_roc_auc_score,bbbp_test_average_precision_score,clearance_valid_pearsonr,clearance_valid_rmse,clearance_test_pearsonr,clearance_test_rmse,clintox_valid_roc_auc_score,clintox_valid_average_precision_score,clintox_test_roc_auc_score,clintox_test_average_precision_score,delaney_valid_pearsonr,delaney_valid_rmse,delaney_test_pearsonr,delaney_test_rmse,lipo_valid_pearsonr,lipo_valid_rmse,lipo_test_pearsonr,lipo_test_rmse,tox21_valid_roc_auc_score,tox21_valid_average_precision_score,tox21_test_roc_auc_score,tox21_test_average_precision_score
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.5601449275362319,0.6669113900740756,0.1521457996043244,0.5973472687972953,0.3447769978635575,1.2621574893278962,0.9564246894409938,0.9447651151904788,0.7367761826765583,0.7665732508884878,0.4390084627340322,1.1615707455008777,0.4860421648214774,1.0877059558903646,0.545774647887324,0.973303471412813,0.6310951239008793,0.9676074280500292,0.8762373989346439,0.4656395467577327,0.8757617241865384,0.5041816147014256,0.6898438678684323,0.7585360361270167,0.6341079150564091,0.7390253707761268,0.7015271105010294,0.4123420318507219,0.7320318997994031,0.3284584948730372
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.5603260869565218,0.6683606654363945,0.1521031679268156,0.597348410035278,0.3448331840488281,1.2621632332115276,0.9582686335403728,0.9484926004441468,0.7353309567395703,0.7632275252432389,0.4344349688183994,1.1640207396614812,0.4934304870720654,1.0824949622021625,0.5375586854460094,0.9725182438298644,0.6318944844124701,0.96751669801094,0.8717978272739979,0.469887351706707,0.8704516199257147,0.513691445430559,0.7403726981173309,0.7112796099871032,0.6935276088640432,0.7003679841742226,0.7047443376801648,0.413110064621951,0.7364841724154804,0.3327028607359242
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.5601449275362319,0.6669113900740756,0.1521575786390131,0.5972641543919954,0.3449339001913779,1.2621396950333987,0.9587538819875776,0.948394123995958,0.7349455631563734,0.7689533949602676,0.4321930139061573,1.1660203043125736,0.4775752453646303,1.0939125981681552,0.5293427230046949,0.971728447252796,0.6342925659472423,0.9660596329461744,0.8681430922280596,0.4765335005986098,0.8707673433885104,0.5131244745014772,0.7184427109386144,0.7348966999975717,0.6758766913795773,0.7137329962240878,0.7079615648593,0.4132163931296391,0.737756250305788,0.3352312835560966
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.5601449275362319,0.6669113900740756,0.1522122149879838,0.5973346327535173,0.3447227603169577,1.2621634406162243,0.9572981366459627,0.9480947003276972,0.7419789960497156,0.7702990240274761,0.4345895753978409,1.1641574836577144,0.4842035677231703,1.088720266242836,0.6549295774647886,0.9820070219152148,0.6302957633892885,0.9676833217532014,0.8739546854337523,0.4666623761843644,0.8749434657333293,0.5064938226041025,0.7002727775853864,0.7421916380463666,0.6475533914010634,0.7227678217249097,0.7042724776938915,0.4094400340723494,0.7323743823083322,0.3295062527885364
run_45,0.1363740265369415,384,0.109,0.144,464,12,3,0.0001408115147143,77M-MLM,0.6135394456289979,0.6405704835132975,0.5601449275362319,0.6669113900740756,0.1520513247552201,0.5973389471596878,0.3449690646964967,1.262159396523424,0.9581715838509316,0.9486134601339966,0.7395702861547355,0.7674363740081066,0.4446212216391131,1.1579581837068962,0.4809342344264873,1.0911522586177742,0.539906103286385,0.9723966294754652,0.6358912869704236,0.9665048043099582,0.8648178341343528,0.4826238011394452,0.871235486161042,0.5110059862771259,0.6872194483904203,0.7512467296065719,0.636140018607096,0.7261907765570333,0.7068891557995882,0.4181419710357317,0.7385390674690543,0.3319467561949558
run_45,0.1470169872045517,384,0.109,0.144,464,12,3,0.0001408115147143,10M-MLM,0.6410803127221038,0.6835138588508344,0.8076086956521739,0.8399617103813404,0.1750586818491867,0.5446106151240059,0.7152566420097883,1.1444319971268488,0.970302795031056,0.9662054580911926,0.7444840543404954,0.7582815664345363,0.4197077166451486,1.1700069656414782,0.4895265949515912,1.0824010252756948,0.647887323943662,0.9801740343777084,0.6806554756195045,0.9686399748158034,0.8588701830261967,0.4925757415232722,0.9082317875239668,0.4368014641272617,0.7492663422526689,0.7008213868115689,0.7338066752751117,0.657532676761113,0.7772391901166781,0.4517589008763224,0.7453887176476344,0.3661556238198163
run_45,0.1470169872045517,384,0.109,0.144,464,12,3,0.0001408115147143,10M-MLM,0.6433901918976546,0.6837998464255605,0.8105072463768115,0.8420508129683171,0.1751816495031959,0.5397642322420477,0.727938394369069,1.1264501127803248,0.9692352484472048,0.9639104564646952,0.7490124289430582,0.7679131212275487,0.4149541984482467,1.1722708154318315,0.4799268206483294,1.089738030420908,0.6232394366197184,0.9785151906409288,0.6670663469224621,0.9670250631660988,0.8604129555602802,0.4921467850504462,0.9098324847097294,0.4358141626729953,0.7444555480457282,0.7126988240760144,0.7124868478696172,0.6830046393585474,0.7559196980096088,0.4194790127562022,0.7341846469983854,0.3525191088028709
run_45,0.1470169872045517,384,0.109,0.144,464,12,3,0.0001408115147143,10M-MLM,0.6400142146410803,0.6821551053491247,0.8085144927536232,0.8402427370804386,0.1852129693541333,0.536827019773968,0.7386070397586348,1.0890869473637592,0.968847049689441,0.9636580637761596,0.7467964158396763,0.768084402412941,0.4187089931028429,1.1708460562774876,0.4819785513267892,1.086908208903915,0.6384976525821597,0.9794324839380332,0.67585931254996,0.9683991205746648,0.8423620252684808,0.5198448634222863,0.9018611036546288,0.448837473173811,0.7208651910695432,0.7340761886114712,0.692786905266447,0.6924442940660178,0.7802848318462594,0.4745019690978448,0.7480307255736582,0.3586377117717111
run_45,0.1470169872045517,384,0.109,0.144,464,12,3,0.0001408115147143,10M-MLM,0.6416133617626155,0.6877029578795425,0.8105072463768116,0.8422013802712336,0.1786694218785246,0.5385507442896499,0.7252995559563518,1.1199124390518895,0.969914596273292,0.96485678021186,0.7463146738606803,0.7667260905971767,0.4164846921311926,1.1720773987945006,0.4835430951622569,1.08614489318149,0.6138497652582159,0.9774545005601376,0.6774580335731415,0.9695194776168724,0.8635321672509435,0.4860580645731346,0.9095798711141604,0.4354313342502932,0.740711210752393,0.7354737129017325,0.7179526450767506,0.6967398297584246,0.7866763898421414,0.4694469578620656,0.732325456235628,0.3578532562461164
run_45,0.1470169872045517,384,0.109,0.144,464,12,3,0.0001408115147143,10M-MLM,0.6336176261549397,0.6793996570403065,0.8007246376811594,0.8366825926301639,0.1810558527693,0.5363919877616677,0.7412261706266261,1.0681350660238378,0.969914596273292,0.966441861720148,0.7471818094228732,0.7637400896211712,0.4239685741265155,1.1672878939204283,0.4892811256512879,1.0826143734910645,0.6291079812206573,0.9782035511559348,0.6662669864108713,0.9680298415023312,0.85198284443749,0.5051030735029549,0.9058809935582413,0.4412184964643116,0.7444439895763534,0.7055186148375062,0.7228837223043512,0.6656792137389099,0.783716540837337,0.4729805446911039,0.7405939625226282,0.3528445523794384
